# Internet Archive historical AutoCAD media audit, 2026-07-11
# Format for media rows: SHA256  SHA1  bytes  identifier/member
74eb4cb204d46d6c92bea0b1c0a9223bc77d93495e2be7b0f62b8b4f3b1c5073  c8c2c61c711f33f032eb0f4188813d1d5cb6a64b  956430  autocad-2.53j-train-de/AutoCAD 2.53J DE.zip
b72e41f972cc12785fd8aa8c44fb2c627072c9372b12b639f0f930651cf4a4bb  abbc09e515f751fabc062fede60bf02a7af17189  368640  UsingAutoCADStudentWorkdisk1986/UsingAutoCADStudentWorkdisk1986.disk1of1.img
d6c9d21dfe0187a2b3932d510ec38a02ce1cf0dd8cabeeae5b653d8d4981cc5c  1b5e18256aee80942595290ae3b7d381d56f2ab1  38210706  autocad.7z/autocad.7z
bf27c9d0a86d9213eaeb9f549052825ece6491a0a5d4e87604982945d778fd65  249e080f243e19843365f0def4fda5f9eb194b03  153274368  autocad.7z/autocad-r13-c4-beta4.iso
877d09f0fde63d87701f99b63ccf7736806b79c064fa79d2a9dc0d8947acc752  96e1f55426c09d84acf57e303cb167973989dd39  31992445  Autocad-86-use-1.25/Autocad 86 use 1.25.zip
3b86ce48adf1d2fbfc4c219023f727faff8fc38b1225cc31face65d1332f4718  1ff80e1bbf6166e4e5b9f934ce53760038aaa230  17520083  Victor-Pulse-D005-Autocad-86-Training-Disk/Victor Pulse D005 Autocad-86 Training Disk (Victor Pulse).zip

# Autocad-86 ver 1.3 archive DWGs.
# Format: SHA256  magic  bytes  blocking-check/Stream-check  filename
aca6a91ef8162d3c01d19fb01caeed5bd6d2ae15b9cc960b91ec9559959c627d  MC0.0  7808  0/0  FLOW.DWG
a4be1853ccb144f0aec90e175c265299baa4d766ccc0790ad837b75d6d0d1011  AC1.2  2688  0/0  ADDER.DWG
6094bc0db7251c47b208de3bf0dce635054ecfc80d4f47e3888195ce06ab6dba  AC1.2  768  0/0  ANDGATE.DWG
0ed6054049547d060b220340c37640d3e3bae62e02ed9f8a9121db9b97a07b19  AC1.2  1792  0/0  BLAINE.DWG
e821d51fb23486aabd8b7e2b53320d7dafd5bcfcbf49977b69e94780c1e6e354  AC1.2  6784  0/0  BLIVET.DWG
a5433186f6d46663a07c9298d342967b185277e660cf3e91578845ac235e3130  AC1.2  640  0/0  BOX.DWG
e0a3a87457143a3cf83b0c4566b322232c5c399f112a6e7a8f773d257dbe8f27  AC1.2  1792  0/0  CLIFF.DWG
a72d085daf2466bc8ef8b25d871d820d1e32ea0bfc292a0918ebbebba3cd1539  AC1.2  1152  0/0  DLATCH.DWG
55d9597313dcd7d0d9019451e02c366b0fef5925f538266e4be15b2df9316318  AC1.2  8320  0/0  FLOOR.DWG
4c5c9f674f703f6954b7818c5b137fe7857459d69653e99a138a2eb06226ab4d  AC1.2  5760  0/0  HOUSE.DWG
09be0adc82e3719b53cd23dd8f7b998ddc4db31349aa2d8f641b240db23e27da  AC1.2  768  0/0  NANDGATE.DWG
