# SourceForge libdxfrw release audit
# Source: https://sourceforge.net/projects/libdxfrw/files/
# Format: SHA256  bytes  filename
3f1e59ee23608e6c4b4b62a8ae4f6cee904a437e02176f1adc908ed807772faf  264393  libdxfrw-0.2.2.tar.bz2
1b0db9f50032d7a851383e6185b30e801b77166906699830f1428459ceee0b03  268117  libdxfrw-0.3.0.tar.bz2
acf94e233834133375898fff2bdce0e16e9207c96376d9511b050ec41e9dcd80  268879  libdxfrw-0.3.1.tar.bz2
8803c6424bc1558b4796acc02cb037e231f75e6a6371d75c93e1aeff632bc3a8  270680  libdxfrw-0.4.0.tar.bz2
77ba99afc18532f8c197f5bee81f6d73f0219c630ccb6df04fda8c72b3525840  695480  libdxfrw-0.4.2.tar.bz2
7bfce81d1138610557e3fe579640205d5ef2b51a017a8f34b0310e66a9f57534  700772  libdxfrw-0.4.3.tar.bz2
575b89fb57a3da221c4f4560d0e3768e1aee2a057d9bf2e97077df8e7bfef239  700414  libdxfrw-0.5.0.tar.bz2
0bf83353b89a28bfa7c12887e086a06a222a21dbabf154c49901f4449f6cfb1b  720598  libdxfrw-0.5.10.tar.bz2
64fcd284a96cbaf9c1a46f3a47aab980c2280bf9ffe26d1e33067c0634cf76c1  720406  libdxfrw-0.5.11.tar.bz2
7c770aad5ee5423cdaa85ff622d84364ca02b7953966547de11f32aad3e1fd1d  720956  libdxfrw-0.5.12.tar.bz2
fa883ff1f2e77e0d304670de8b4c52ee074d608bc9b82b264c653a593a59400c  727955  libdxfrw-0.5.13.tar.bz2
01cdd84853a32b506954c1d8c3778c0ed995eb0d908cde9ad21c914051bcd862  712976  libdxfrw-0.5.3.tar.bz2
7d555c7d028fae276518e705211cd1b146e8cfe0846832c312832b8b314c9ae7  711734  libdxfrw-0.5.4.tar.bz2
94f74dfccfb50c716d9921a81fc95162893288f672591d50406f8503d3f068b5  712983  libdxfrw-0.5.5.tar.bz2
dbe61d08358c07ad516b2c5f85bf0c18f18c39f6d7feb96f7b71adebbac053a9  716937  libdxfrw-0.5.6.tar.bz2
a9b334cd28013b78443618210744cd7516927b25698e6ca3b4ddc644f2bf751b  718723  libdxfrw-0.5.7.tar.bz2
282f92f563b774a270e19f00649f933f1d2dfd69e934f4654bef8d93f84e42c4  719958  libdxfrw-0.5.8.tar.bz2
0e4e3928ab5fc690ffdcf98ee3617034d7b746cb1fbfcad7363a5a09ff7d0180  720469  libdxfrw-0.5.9.tar.bz2
b3f11d1618af6449d70b9a928570fa8ebf693d85f08901c69b59424cace3df8a  767612  libdxfrw-0.6.0-b.tar.bz2
2ecb352ba85273e44d0b0b57bc48aeecc6a9db4bbb823b867391c43f1b6275f3  789938  libdxfrw-0.6.1.tar.bz2
a0d8dd8e36537a9029bdf6063e099c648f7d6d1dccbcc2dd0f5d00962677a28c  793960  libdxfrw-0.6.3.tar.bz2
68a00306041634ce03a967fb055d839372b46cc1c3f78884dd921d7393cf3330  671116  libdxfrw0-0.5.12-1.1.src.rpm
4180c142ef0947fc121864c4c50e1296c7cc22da2ba9d969b30545da887b51c0  16639  libdxfrw0.0.1.tar.bz2
35638c811c4fc5db1a7802221b85b64a73a4037b19519c8cae7f1db8ea6016e7  17712  libdxfrw0.1.1.tar.bz2
2cb120cac7613110866bb92965df4bf2cd60de17dfd79c9fd373573ae39ea76b  22273  libdxfrw0.2.0.tar.bz2
9525523eee893c7d94e4e2a14ca823e6d94c9e3e4271d2a1b01470909d7e63c4  26555  libdxfrw0.2.1.tar.bz2
